1000 0.00296513
1500 0.00549602
2000 0.00887124
2500 0.0139304
3000 0.0208439
3500 0.0278138
4000 0.0376631
4500 0.0495113
5000 0.0566481
5500 0.0672511
6000 0.0790351
6500 0.0920169
7000 0.106494
7500 0.122249
8000 0.138837
8500 0.154906
9000 0.175156
9500 0.193836
10000 0.213477
10500 0.235314
11000 0.258729
11500 0.280056
12000 0.306352
12500 0.331615
13000 0.362812
13500 0.386441
14000 0.416179
14500 0.44343
15000 0.476864
15500 0.508182
16000 0.541902
16500 0.574354
17000 0.614274
17500 0.644656
18000 0.689342
18500 0.740315
19000 0.785663
19500 0.834905
20000 0.988668
20500 0.925638
21000 1.10575
21500 1.1276
22000 1.11693
22500 1.23926
23000 1.28131
23500 1.304
24000 1.41584
24500 1.52932
25000 1.68313
25500 1.5008
26000 1.62708
26500 1.72056
27000 1.86514
27500 1.68228
28000 1.74643
28500 1.74727
